이름,영어 이름,설명,제품 사진
카라멜 마키아또,Caramel Macchiato,"바닐라 시럽과 우유, 그리고 그 위에 얹어진 에스프레소 샷과 달콤한 카라멜 드리즐의 조화",https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[126197]_20150813215717246.jpg
아이스 카푸치노,Iced Cappuccino,에스프레소 샷과 시원한 우유에 부드러운 우유 거품이 얹어진 시원한 음료.,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[110601]_20150803101742023.jpg
카푸치노,Cappuccino,벨벳같은 우유 거품과 에스프레소 샷의 절묘한 조화!,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[38]_20150821164230299.jpg
라벤더 카페 브레베,Lavender Cafe Breve,"[더종로R,청담스타R,한강진역R,홍대입구역사거리R,이대R 전용음료] 블랙이글로 추출한 리저브 에스프레소 샷과 은은한 라벤더향이 고급스럽게 어우러진 리저브 특화음료입니다.",https://image.istarbucks.co.kr/upload/store/skuimg/2016/12/[9200000000432]_20161213140957559.jpg
럼 샷 코르타도,Rum Shot Cortado,"[더종로R,청담스타R,한강진역R,홍대입구역사거리R 전용음료] 최고의 리저브 에스프레소 샷, 스팀 밀크 그리고 럼이 짙게 어우러진 스타벅스 리저브 만의 코르타도입니다.",https://image.istarbucks.co.kr/upload/store/skuimg/2017/12/[9200000001086]_20171218135157850.jpg
스타벅스 돌체 라떼,Starbucks Dolce Latte,깊은 에스프레소와 깔끔한 무지방 우유가 어우러진 달콤한 음료.,https://image.istarbucks.co.kr/upload/store/skuimg/2015/07/[128692]_20150723020548416.jpg
아이스 라벤더 카페 브레베,Iced Lavender Cafe Breve,"[더종로R,청담스타R,한강진역R,홍대입구역사거리R,이대R 전용음료] 블랙이글로 추출한 리저브 에스프레소 샷과 은은한 라벤더향이 고급스럽게 어우러진 리저브 특화음료입니다.",https://image.istarbucks.co.kr/upload/store/skuimg/2016/12/[9200000000433]_20161213162207696.jpg
아이스 스타벅스 돌체 라떼,Iced Starbucks Dolce Latte,커피 향과 부드러움의 조화가 아주 멋진 아이스 커피 입니다.,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[128695]_20150803100201917.jpg
아이스 카페 라떼,Iced Caffe Latte,에스프레소 샷과 시원한 우유와 얼음으로 고소한 음료.,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[110569]_20150813221315652.jpg
카페 라떼,Caffe Latte,에스프레소 샷과 따뜻한 우유와 거품으로 마무리된 음료.,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[41]_20150813221357154.jpg
아이스 카페 모카,Iced Caffe Mocha,모카시럽과 시원한 우유에 휘핑크림이 토핑된 에스프레소 음료.,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[110566]_20150813221545269.jpg
아이스 화이트 초콜릿 모카,Iced White Chocolate Mocha,화이트 초콜릿과 시원한 우유가 첨가된 에스프레소 음료.,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[110572]_20150803102719457.jpg
카페 모카,Caffe Mocha,모카시럽과 스팀밀크에 휘핑크림이 토핑된 에스프레소.,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[46]_20150803105115048.jpg
화이트 초콜릿 모카,White Chocolate Mocha,화이트 초콜릿과 스팀밀크가 첨가된 에스프레소 음료.,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[128192]_20150803101501857.jpg
바닐라 플랫 화이트,Vanilla Flat White,스타벅스 리스트레토 샷과 향긋한 바닐라 풍미가 더해진 진하고 달콤한 음료.,https://image.istarbucks.co.kr/upload/store/skuimg/2019/09/[9200000002406]_20190917152957184.jpg
바닐라 스타벅스 더블 샷,Vanilla Starbucks Double Shot,"신선하게 제조된 더블 샷 믹스에 바닐라 시럽을 넣고 에스프레소 샷, 얼음이 어우러져 핸드 쉐이킹한 음료입니다.",https://image.istarbucks.co.kr/upload/store/skuimg/2018/10/[110612]_20181022143635434.jpg
블론드 리스트레토 마키아또,Blonde Ristretto Macchiato,블론드 에스프레소의 달콤하고 시트러스한 풍미의 매력을 블론드 리스트레토 마키아또로 즐겨보세요!,https://image.istarbucks.co.kr/upload/store/skuimg/2019/04/[9200000002191]_20190415144850803.jpg
블론드 에스프레소 토닉,Blonde Espresso Tonic,블론드 에스프레소와 시트러스한 풍미의 토닉 워터가 어우러진 블론드 에스프레소 토닉을 상쾌하게 즐겨보세요!,https://image.istarbucks.co.kr/upload/store/skuimg/2019/04/[9200000002188]_20190415144717933.jpg
아이스 블론드 리스트레토 마키아또,Iced Blonde Ristretto Macchiato,블론드 에스프레소의 달콤하고 시트러스한 풍미의 매력을 아이스 블론드 리스트레토 마키아또로 즐겨보세요!,https://image.istarbucks.co.kr/upload/store/skuimg/2019/04/[9200000002194]_20190415144953517.jpg
에스프레소,Espresso,스타벅스의 핵심인 강렬하고 카라멜향이 달콤한 음료,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[20]_20150813221922951.jpg
커피 스타벅스 더블 샷,Coffee Starbucks Double Shot,"신선하게 제조된 더블 샷 믹스에 클래식 시럽을 넣고 에스프레소 샷, 얼음이 어우러져 핸드 쉐이킹한 음료입니다.",https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[110611]_20150813220251638.jpg
클래식 아포가토,Classic Affogato,[리저브R 매장 전용음료] 리저브 에스프레소 투 샷이 바닐라 아이스크림과 진하게 어우러진 정통 아포가토,https://image.istarbucks.co.kr/upload/store/skuimg/2018/07/[9200000001631]_20180726125701691.jpg
헤이즐넛 스타벅스 더블 샷,Hazelnut Starbucks Double Shot,"신선하게 제조된 더블 샷 믹스에 헤이즐넛 시럽을 넣고 에스프레소 샷, 얼음이 어우러져 핸드 쉐이킹한 음료입니다.",https://image.istarbucks.co.kr/upload/store/skuimg/2018/10/[110614]_20181022143713157.jpg
더블 에스프레소 칩 프라푸치노,Double Espresso Chip Frappuccino,"리스트레토 에스프레소 2샷과 에스프레소 칩, 하프앤하프가 
달고 진하고 어우러진 커피의 기본에 충실한 
더블 에스프레소 칩 프라푸치노를 만나보세요.",https://image.istarbucks.co.kr/upload/store/skuimg/2020/04/[9200000002760]_20200416142845163.jpg
블랙 와플칩 크림 프라푸치노,Black Waffle chip Cream Frappuccino,"블랙 와플칩 쿠키를 통째로 갈아서 만든 매력만점 프라푸치노!
시크한 블랙 와플과 부드러운 크림 프라푸치노가 어우러진, 
겉은 시크하지만 속은 부드러운 반전매력 블랙 와플칩 크림 프라푸치노",https://image.istarbucks.co.kr/upload/store/skuimg/2020/04/[9200000002745]_20200403132226636.jpg
모카 프라푸치노,Mocha Frappuccino,"초콜릿, 커피와 얼음이 갈린 음료에 휘핑크림이 토핑된 음료.
라이트 프라푸치노용 시럽 선택 가능-Tall 사이즈 기준, 25% 이상 줄어든 저당(Low Sugar)으로 즐기실 수 있습니다.",https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[168004]_20150813221231921.jpg
에스프레소 프라푸치노,Espresso Frappuccino,"에스프레소의 강렬함과 약간의 단맛을 시원하게 즐기는 프라푸치노.
라이트 프라푸치노용 시럽 선택 가능-Tall 사이즈 기준, 25% 이상 줄어든 저당(Low Sugar)으로 즐기실 수 있습니다.",https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[168007]_20150813222212671.jpg
자바 칩 프라푸치노,Java Chip Frappuccino,"커피 프라푸치노에 초콜릿, 초콜릿 칩이 첨가된 아이스 블렌드로 달콤 아삭한 음료.
라이트 프라푸치노용 시럽 선택 가능-Tall 사이즈 기준, 25% 이상 줄어든 저당(Low Sugar)으로 즐기실 수 있습니다.",https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[168016]_20150813231001890.jpg
카라멜 프라푸치노,Caramel Frappuccino,"카라멜 시럽이 더해진 커피 프라푸치노에 휘핑 크림, 카라멜이 장식된 음료.
라이트 프라푸치노용 시럽 선택 가능-Tall 사이즈 기준, 25% 이상 줄어든 저당(Low Sugar)으로 즐기실 수 있습니다.",https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[168010]_20150813220356049.jpg
화이트 초콜릿 모카 프라푸치노,White Chocolate Mocha Frappuccino,"화이트 초콜릿, 커피와 우유가 조합된 아이스 블렌드로 휘핑크림이 토핑된 음료.
라이트 프라푸치노용 시럽 선택 가능-Tall 사이즈 기준, 25% 이상 줄어든 저당(Low Sugar)으로 즐기실 수 있습니다.",https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[168013]_20150806153343261.jpg
바닐라 크림 프라푸치노,Vanilla Cream Frappuccino,"우유에 바닐라향이 조합된 아이스 블렌드로 휘핑크림이 토핑된 음료.
라이트 프라푸치노용 시럽 선택 가능-Tall 사이즈 기준, 25% 이상 줄어든 저당(Low Sugar)으로 즐기실 수 있습니다.",https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[168054]_20150813220927322.jpg
제주 까망 크림 프라푸치노,Jeju Black Sesame Cream Frappuccino,"[제주지역 한정음료] 제주 까망 라떼의 프라푸치노 버전으로 
쫄깃한 국내산 흑임자 떡과 블랙 소보로 토핑으로 
컵빙수처럼 먹는 음료. 고소한 국내산 흑임자와 
쫄깃한 국내산 흑임자 떡, 달콤한 블랙 소보로 토핑으로 
제주의 돌 하르방 길을 느껴보세요.",https://image.istarbucks.co.kr/upload/store/skuimg/2019/02/[9200000002088]_20190221165617635.jpg
제주 쑥떡 크림 프라푸치노,Jeju Mugwort Cream Frappuccino,"[제주지역 한정음료] 제주 쑥쑥 라떼의 시원한 버전으로 
쫄깃쫄깃한 국내산 흑임자 떡으로 
씹는 재미를 즐길 수 있는 음료. 
제주 쑥과 국내산 흑임자 떡으로 제주 오름길을 느껴보세요.",https://image.istarbucks.co.kr/upload/store/skuimg/2019/02/[9200000002090]_20190221165833072.jpg
제주 유기농 말차로 만든 크림 프라푸치노,Malcha Cream Frappuccino From Jeju Organic Farm,깊고 진한 말차 본연의 맛과 향을 시원하고 부드럽게 즐길 수 있는 제주 유기농 말차로 만든 크림 프라푸치노를 만나보세요.,https://image.istarbucks.co.kr/upload/store/skuimg/2019/12/[9200000002502]_20191227095721775.jpg
제주 청보리 크림 프라푸치노,Jeju Green Barley Cream Frappuccino,"[제주지역 한정음료] 제주 바람의 숲 가파도를 연상시키는
음료로 청보리의 풋풋하고 고소함이 함께 느껴지는 음료
제주 청보리 크림 프라푸치노로 
더욱 시원하게 가파도 길을 느껴보세요.",https://image.istarbucks.co.kr/upload/store/skuimg/2020/02/[9200000002668]_20200220135328820.jpg
초콜릿 크림 칩 프라푸치노,Chocolate Cream Chip Frappuccino,"모카시럽과 자바칩이 혼합된 크림 프라푸치노로 휘핑크림, 초콜렛 드리즐된 음료.
라이트 프라푸치노용 시럽 선택 가능-Tall 사이즈 기준, 25% 이상 줄어든 저당(Low Sugar)으로 즐기실 수 있습니다.",https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[168066]_20150806163214514.jpg
피스타치오 크림 프라푸치노,Pistachio Cream Frappuccino,"스타벅스에 없던 새로운 맛,
젤라또를 먹는 듯한 크리미함과 고소함이 극에 달한 
피스타치오 크림 프라푸치노를 만나보세요.",https://image.istarbucks.co.kr/upload/store/skuimg/2020/04/[9200000002763]_20200416143004026.jpg
화이트 딸기 크림 프라푸치노,White Strawberry Cream Frappuccino,"달콤한 딸기 음료의 새로운 버전.
딸기에 눈이 소복이 쌓인 것 같은 비주얼에 풍부한 딸기 맛을
가볍게 즐길 수 있는 누구나 좋아하는 딸기 음료.
바닐라 크림 베이스로 더욱 깊은 딸기의 맛과 풍미를 즐겨보세요",https://image.istarbucks.co.kr/upload/store/skuimg/2019/04/[9200000002161]_20190423145431290.jpg
화이트 타이거 프라푸치노,White Tiger Frappuccino,"밀크 쉐이크 같은 부드럽고 달콤한 바닐라 크림 프라푸치노에 깊은 풍미의 단맛을 가진 흑당시럽이 어우러져 용인에버랜드 백호의 줄무늬를 형상화한 부드럽고 달콤한 프라푸치노

* 용인에버랜드R 매장에서만 판매하는 음료입니다",https://image.istarbucks.co.kr/upload/store/skuimg/2019/07/[9200000002403]_20190711125729602.jpg
망고 패션 후르츠 블렌디드,Mango Passion Fruit Blended,진한 블랙 티에 망고 패션 후르츠 주스가 조합된 아이스 블렌드 음료,https://image.istarbucks.co.kr/upload/store/skuimg/2016/09/[167004]_20160902191636973.jpg
딸기 요거트 블렌디드,Strawberry Yogurt Blended,딸기와 요거트의 상큼함이 가득 느껴지는 가벼운 컨셉의 블렌디드 음료입니다.,https://image.istarbucks.co.kr/upload/store/skuimg/2016/04/[9200000000044]_20160415132044486.jpg
망고 바나나 블렌디드,Mango Banana Blended,인기 음료인 망고 패션후르츠 블렌디드에 신선한 바나나 1개가 통째로 들어간 달콤한 프라푸치노,https://image.istarbucks.co.kr/upload/store/skuimg/2015/07/[169001]_20150723022552882.jpg
익스트림 티 블렌디드,Extreme Tea Blended,"시트러스한 베이스의 블렌디드에 매력적인 히비스커스 티(패션탱고티)가 어우러져 상큼함이 입안을 가득 채우는 익스트림 티 블렌디드

* 용인에버랜드R 매장에서만 판매하는 음료입니다",https://image.istarbucks.co.kr/upload/store/skuimg/2019/07/[9200000002404]_20190711125823581.jpg
자몽 셔벗 블렌디드,Grapefruit Sherbet Blended,"상큼함으로 끝까지 시원한 자몽 셔벗 블렌디드!
달콤 쌉싸름한 자몽과 상큼한 레모네이드가 얼음과 만나
셔벗처럼 가볍고 시원하게 즐길 수 있는 블렌디드 음료.",https://image.istarbucks.co.kr/upload/store/skuimg/2019/04/[9200000002153]_20190423145048072.jpg
제주 레드 빈 블렌디드,Jeju Red Bean Blended,"[제주지역 한정음료] 제주 화산송이를 형상화한 음료로
국내산 레드 빈으로 표현한 뉴트로 음료로 고급진 레드 빈의 맛을
제주 스타벅스에서 더욱 시원하게 즐겨보세요.",https://image.istarbucks.co.kr/upload/store/skuimg/2020/02/[9200000002671]_20200220135607977.jpg
제주 한라봉 블랙 티 블렌디드,Jeju Hallabong Black Tea Blended,"[제주지역 한정음료] 제주 공원에서 볼 수 있는 튤립을
연상시키는 상큼한 타입의 티 블렌디드 음료.
제주 한라봉 베이스와 블랙 티가 만나 상큼한 티 블렌디드를
제주 스타벅스에서 즐겨보세요.",https://image.istarbucks.co.kr/upload/store/skuimg/2020/02/[9200000002673]_20200220135746239.jpg
피치 & 레몬 블렌디드,Peach & Lemon Blended,"달콤한 복숭아와 새콤한 레몬, 말랑한 복숭아 젤리가 만난 
맑고 청량한 피치 & 레몬 블렌디드로 올 여름을 맞이해보세요.",https://image.istarbucks.co.kr/upload/store/skuimg/2020/04/[9200000002766]_20200416143123646.jpg
매직 팝 스플래쉬 피지오,Magic Pop Splash Fizzio™,"신비한 보라색의 피지오가 팝시클이 녹으면서 핑크색으로 점차 변하며 마법이 일어난 것 같은 피지오 음료

* 용인에버랜드R 매장에서만 판매하는 음료입니다",https://image.istarbucks.co.kr/upload/store/skuimg/2019/07/[9200000002402]_20190711125640509.jpg
블랙 티 레모네이드 피지오,Black Tea Lemonade Starbucks Fizzio™,블랙 티와 상큼한 레모네이드를 스파클링한 시원하고 청량감 있는 음료입니다.,https://image.istarbucks.co.kr/upload/store/skuimg/2016/09/[107025]_20160905095924513.jpg
쿨 라임 피지오,Cool Lime Starbucks Fizzio™,그린 빈 추출액이 들어간 라임 베이스에 건조된 라임 슬라이스를 넣고 스파클링한 시원하고 청량감 있는 음료입니다. (카페인이 함유된 탄산음료입니다),https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[107051]_20150804111927377.jpg
패션 탱고 티 레모네이드 피지오,Passion Tango Tea Lemonade Starbucks Fizzio™,패션 티와 상큼한 레모네이드를 스파클링한 시원하고 청량감 있는 음료입니다.,https://image.istarbucks.co.kr/upload/store/skuimg/2016/09/[107031]_20160905102946376.jpg
핑크 자몽 피지오,Pink Grapefruit Starbucks Fizzio™,"신선하게 착즙한 자몽이 스타벅스 만의 수제 탄산음료로 선보입니다.
핑크빛의 생자몽으로 아름다운 비주얼과 신선함을 느껴 보세요. ",https://image.istarbucks.co.kr/upload/store/skuimg/2018/06/[9200000001321]_20180601160716831.jpg
피치 젤리 핫 티,Peach Jelly Hot Tea,"은은한 블랙 티에 복숭아의 풍미를 가득 담은 여름 음료의 대명사 아이스 티.
쫀득한 젤리의 질감으로 입 안에서 가득 퍼지는
스타벅스의 달콤하고 깔끔한 아이스 티를 선사합니다.(Hot Tea로도 즐길 수 있습니다.)",https://image.istarbucks.co.kr/upload/store/skuimg/2020/04/[9200000002754]_20200403132406530.jpg
피치 젤리 아이스 티,Peach Jelly Iced Tea,"은은한 블랙 티에 복숭아의 풍미를 가득 담은 여름 음료의 대명사 아이스 티.
쫀득한 젤리의 질감으로 입 안에서 가득 퍼지는
스타벅스의 달콤하고 깔끔한 아이스 티를 선사합니다.(Hot Tea로도 즐길 수 있습니다.)",https://image.istarbucks.co.kr/upload/store/skuimg/2020/04/[9200000002757]_20200403132717649.jpg
그랜마 애플 블랙 티,Grandma Apple Black Tea,"잉글리쉬 브렉퍼스트 티와 신선한 사과, 시나몬과 레몬의 가벼운 터치가
마치 할머니의 비밀 레시피같은 묘한 매력의 그랜마 애플 블랙 티를 소개합니다.

오직, Teavana Bar 매장에서만 만날 수 있습니다.",https://image.istarbucks.co.kr/upload/store/skuimg/2018/12/[9200000001929]_20181226180215751.jpg
라임 패션 티,Lime Passion Tea,"새콤달콤한 히비스커스와 라임의 
이국적인 조화가 매력적인 라임 패션 티를 만나보세요!",https://image.istarbucks.co.kr/upload/store/skuimg/2019/01/[9200000001931]_20190114160428952.jpg
민트 블렌드 티,Mint Blend Brewed Tea ,"스피어민트, 페퍼민트, 레몬버베나가 블렌딩된 상쾌한 허브 티 입니다.",https://image.istarbucks.co.kr/upload/store/skuimg/2016/09/[4004000000056]_20160905095218270.jpg
아이스 그랜마 애플 블랙 티,Iced Grandma Apple Black Tea,"잉글리쉬 브렉퍼스트 티와 신선한 사과, 시나몬과 레몬의 가벼운 터치가
마치 할머니의 비밀 레시피같은 묘한 매력의 그랜마 애플 블랙 티를 소개합니다.

오직, Teavana Bar 매장에서만 만날 수 있습니다.",https://image.istarbucks.co.kr/upload/store/skuimg/2018/12/[9200000001930]_20181226180250814.jpg
아이스 라임 패션 티,Iced Lime Passion Tea,"새콤달콤한 히비스커스와 라임의 
이국적인 조화가 매력적인 라임 패션 티를 만나보세요!",https://image.istarbucks.co.kr/upload/store/skuimg/2019/01/[9200000001933]_20190114160516783.jpg
아이스 민트 블렌드 티,Iced Mint Blend Brewed Tea,"스피어민트, 페퍼민트, 레몬버베나가 블렌딩된 상쾌한 허브 티 입니다.
(약 5분 정도의 티 추출 시간이 소요됩니다.)",https://image.istarbucks.co.kr/upload/store/skuimg/2016/09/[4004000000059]_20160905100053426.jpg
아이스 유스베리 티,Iced Youthberry™Brewed Tea,"아사이베리, 히비스커스, 장미 꽃잎의 핑크빛 컬러가 감도는 수색과 베리류의 새콤함을 느낄 수 있는 화이트 티 입니다.",https://image.istarbucks.co.kr/upload/store/skuimg/2016/09/[9200000000229]_20160905094710349.jpg
아이스 유자 민트 티,Iced Yuja Mint Tea,"달콤한 유자와 알싸하고 은은한 진저, 
우릴 수록 상쾌한 민트 티가 조화로운 유자 민트 티.
오직 티바나 바 매장에서만 만날 수 있습니다.",https://image.istarbucks.co.kr/upload/store/skuimg/2019/10/[9200000002574]_20191024172411440.jpg
아이스 잉글리쉬 브렉퍼스트 티,Iced English Breakfast Brewed Tea,"인도 아삼, 스리랑카 실론, 중국의 홍차가 블렌딩 된 깊고 그윽한 블랙 티 입니다.
(약 5분 정도의 티 추출 시간이 소요됩니다.)",https://image.istarbucks.co.kr/upload/store/skuimg/2016/09/[4004000000019]_20160905100755211.jpg
아이스 제주 유기 녹차,Iced Jeju Organic Green Tea,"우수한 품질의 제주도 산 유기 녹차로만 이루어져 맑은 수색과 신선한 향, 맛이 뛰어난 녹차 입니다.
(약 3분 정도의 티 추출 시간이 소요됩니다.)",https://image.istarbucks.co.kr/upload/store/skuimg/2016/09/[400400000094]_20160905100927573.jpg
아이스 차이 티,Iced Chai Brewed Tea,"진저, 카르다몸, 이국적인 풍미의 시나몬 등이 블렌딩된 블랙 티 입니다.
(약 5분 정도의 티 추출 시간이 소요됩니다.)",https://image.istarbucks.co.kr/upload/store/skuimg/2016/09/[4004000000049]_20160905101031391.jpg
아이스 캐모마일 블렌드 티,Iced Chamomile Blend Brewed Tea ,"캐모마일과 라벤더의 부드러운 꽃향이 어우러진 허브 티 입니다.
(약 5분 정도의 티 추출 시간이 소요됩니다.)",https://image.istarbucks.co.kr/upload/store/skuimg/2016/09/[4004000000079]_20160905101225311.jpg
